artist,song,H_or_N,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
HARDY,Truck Bed,H,spotify:track:103u49mLoJUge83B1CnLxI,0.662,0.77,0,-4.887,1,0.0367,0.0875,0.0,0.35,0.769,132.057,audio_features,103u49mLoJUge83B1CnLxI,spotify:track:103u49mLoJUge83B1CnLxI,https://api.spotify.com/v1/tracks/103u49mLoJUge83B1CnLxI,https://api.spotify.com/v1/audio-analysis/103u49mLoJUge83B1CnLxI,167535,4
Mitski,My Love Mine All Mine,H,spotify:track:3jjsRKEsF42ccXf8kWR3nu,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,audio_features,3jjsRKEsF42ccXf8kWR3nu,spotify:track:3jjsRKEsF42ccXf8kWR3nu,https://api.spotify.com/v1/tracks/3jjsRKEsF42ccXf8kWR3nu,https://api.spotify.com/v1/audio-analysis/3jjsRKEsF42ccXf8kWR3nu,128199,4
Dan + Shay,Save Me The Trouble,H,spotify:track:7hZTywPKMdVjJzwdWu11BK,0.444,0.629,9,-4.435,1,0.0318,0.00544,0.0,0.271,0.376,134.931,audio_features,7hZTywPKMdVjJzwdWu11BK,spotify:track:7hZTywPKMdVjJzwdWu11BK,https://api.spotify.com/v1/tracks/7hZTywPKMdVjJzwdWu11BK,https://api.spotify.com/v1/audio-analysis/7hZTywPKMdVjJzwdWu11BK,200347,3
Tate McRae,Exes,H,spotify:track:3rUGC1vUpkDG9CZFHMur1t,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
Travis Scott,I Know ?,H,spotify:track:6wsqVwoiVH2kde4k4KKAFU,0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,audio_features,6wsqVwoiVH2kde4k4KKAFU,spotify:track:6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/tracks/6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/audio-analysis/6wsqVwoiVH2kde4k4KKAFU,211582,4
Jessie Murph & Jelly Roll,Wild Ones,H,spotify:track:2kE2HFBFkJ0VMw3igxYohz,0.65,0.689,0,-3.543,1,0.0449,0.0878,0.0,0.172,0.294,136.03,audio_features,2kE2HFBFkJ0VMw3igxYohz,spotify:track:2kE2HFBFkJ0VMw3igxYohz,https://api.spotify.com/v1/tracks/2kE2HFBFkJ0VMw3igxYohz,https://api.spotify.com/v1/audio-analysis/2kE2HFBFkJ0VMw3igxYohz,142520,4
Kenya Grace,Strangers,H,spotify:track:5mjYQaktjmjcMKcUIcqz4s,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,audio_features,5mjYQaktjmjcMKcUIcqz4s,spotify:track:5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,172965,4
Bad Bunny,Monaco,H,spotify:track:0rY6m2panPvhv1wzB5AAkN,0.577,0.573,1,-8.353,1,0.471,0.0245,0.0,0.501,0.319,137.492,audio_features,0rY6m2panPvhv1wzB5AAkN,spotify:track:0rY6m2panPvhv1wzB5AAkN,https://api.spotify.com/v1/tracks/0rY6m2panPvhv1wzB5AAkN,https://api.spotify.com/v1/audio-analysis/0rY6m2panPvhv1wzB5AAkN,135909,4
JID Featuring 21 Savage & Baby Tate,Surround Sound,H,spotify:track:1udwFobQ1JoOdWPQrp2b6u,0.575,0.56,5,-7.302,1,0.478,0.173,0.0,0.257,0.471,75.956,audio_features,1udwFobQ1JoOdWPQrp2b6u,spotify:track:1udwFobQ1JoOdWPQrp2b6u,https://api.spotify.com/v1/tracks/1udwFobQ1JoOdWPQrp2b6u,https://api.spotify.com/v1/audio-analysis/1udwFobQ1JoOdWPQrp2b6u,229938,4
Cody Johnson,The Painter,H,spotify:track:6UoKX6uLJwhsnyTp5k5StP,0.512,0.709,2,-5.766,1,0.0329,0.0415,4.25e-06,0.107,0.261,97.981,audio_features,6UoKX6uLJwhsnyTp5k5StP,spotify:track:6UoKX6uLJwhsnyTp5k5StP,https://api.spotify.com/v1/tracks/6UoKX6uLJwhsnyTp5k5StP,https://api.spotify.com/v1/audio-analysis/6UoKX6uLJwhsnyTp5k5StP,211413,4
Olivia Rodrigo,Get Him Back!,H,spotify:track:2gyxAWHebV7xPYVxqoi86f,0.546,0.846,5,-5.719,1,0.181,0.0135,0.0,0.607,0.74,162.043,audio_features,2gyxAWHebV7xPYVxqoi86f,spotify:track:2gyxAWHebV7xPYVxqoi86f,https://api.spotify.com/v1/tracks/2gyxAWHebV7xPYVxqoi86f,https://api.spotify.com/v1/audio-analysis/2gyxAWHebV7xPYVxqoi86f,211141,4
Flo Milli,Never Lose Me,H,spotify:track:6uTPdRrEDeH8Fyg5L5qmeU,0.781,0.567,1,-7.857,1,0.0969,0.0504,0.0,0.0981,0.0743,121.964,audio_features,6uTPdRrEDeH8Fyg5L5qmeU,spotify:track:6uTPdRrEDeH8Fyg5L5qmeU,https://api.spotify.com/v1/tracks/6uTPdRrEDeH8Fyg5L5qmeU,https://api.spotify.com/v1/audio-analysis/6uTPdRrEDeH8Fyg5L5qmeU,125902,4
Noah Kahan With Post Malone,Dial Drunk,H,spotify:track:22VHOlVYBqytsrAqV8yXBK,0.667,0.613,8,-7.147,1,0.0313,0.121,0.0,0.113,0.681,112.046,audio_features,22VHOlVYBqytsrAqV8yXBK,spotify:track:22VHOlVYBqytsrAqV8yXBK,https://api.spotify.com/v1/tracks/22VHOlVYBqytsrAqV8yXBK,https://api.spotify.com/v1/audio-analysis/22VHOlVYBqytsrAqV8yXBK,213817,4
Luke Combs,Where The Wild Things Are,H,spotify:track:0eBFgRxyVSeuT4iyrbukdn,0.708,0.731,3,-4.872,1,0.0345,0.0189,4.47e-06,0.129,0.379,116.975,audio_features,0eBFgRxyVSeuT4iyrbukdn,spotify:track:0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/tracks/0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/audio-analysis/0eBFgRxyVSeuT4iyrbukdn,239533,4
Drake,You Broke My Heart,H,spotify:track:5Se32hEA9raeboZerywxka,0.465,0.7,10,-5.163,0,0.0893,0.203,0.0,0.299,0.276,120.854,audio_features,5Se32hEA9raeboZerywxka,spotify:track:5Se32hEA9raeboZerywxka,https://api.spotify.com/v1/tracks/5Se32hEA9raeboZerywxka,https://api.spotify.com/v1/audio-analysis/5Se32hEA9raeboZerywxka,230709,4
Drake Featuring Yeat,IDGAF,H,spotify:track:2uvBprdlMpzeN5Bq0PzMBI,0.673,0.672,8,-8.577,1,0.224,0.0466,0.000284,0.193,0.14,136.902,audio_features,2uvBprdlMpzeN5Bq0PzMBI,spotify:track:2uvBprdlMpzeN5Bq0PzMBI,https://api.spotify.com/v1/tracks/2uvBprdlMpzeN5Bq0PzMBI,https://api.spotify.com/v1/audio-analysis/2uvBprdlMpzeN5Bq0PzMBI,260111,4
